plot_id	idline_intersect_method	diameter_cm	angle_degrees	date_assessment
2198	1	11	0	16546
3970	1	18	0	16576
4945	1	19	0	17277
6278	1	23	0	16562
6278	1	12	0	16562
6278	2	9	0	16562
6278	3	12	10	16562
7145	2	14	10	16553
7145	2	8	10	16553
7145	2	9	10	16553
7785	2	16	0	16573
7785	2	12	0	16573
7785	3	19	10	16573
7785	3	10	0	16573
8121	1	20	0	16554
8121	1	9	0	16554
8121	1	8	0	16554
8121	1	9	0	16554
8121	1	14	0	16554
8121	2	13	0	16554
8121	2	10	0	16554
8121	3	74	0	16554
8217	1	9	0	17288
8217	1	7	0	17288
8217	1	10	0	17288
8217	1	7	0	17288
8217	2	8	0	17288
9262	1	11	0	17067
9262	1	9	0	17067
9262	1	8	10	17067
10354	1	7	0	16575
10354	1	11	0	16575
10354	1	11	0	16575
10354	1	7	0	16575
10354	1	10	0	16575
10354	2	17	0	16575
10354	2	16	0	16575
10354	2	7	0	16575
10354	2	8	0	16575
10354	2	7	0	16575
10354	2	19	NA	16575
10354	2	9	0	16575
10354	2	15	0	16575
10354	3	15	0	16575
10354	3	8	0	16575
10354	3	7	0	16575
10354	3	11	0	16575
11481	1	8	0	17998
11481	1	7	0	17998
11865	1	12	10	16554
11865	2	12	0	16554
11865	3	10	10	16554
11865	3	7	20	16554
15782	1	11	10	16562
15782	1	9	10	16562
15782	1	11	10	16562
15782	1	7	10	16562
15782	1	22	10	16562
15782	1	26	0	16562
15782	2	13	0	16562
15782	2	9	10	16562
15782	3	17	0	16562
15782	3	32	10	16562
16633	2	42	0	16559
16633	3	10	0	16559
16633	3	7	0	16559
18290	2	11	0	17990
20274	1	10	0	17990
20274	3	NA	NA	17990
20470	2	8	20	17990
20470	3	13	0	17990
23238	1	9	0	17711
23238	1	9	0	17711
23238	2	14	0	17711
26393	2	28	10	17269
26393	2	31	0	17269
26393	2	26	10	17269
26393	2	48	10	17269
27474	1	11	0	17989
27474	1	10	10	17989
27474	3	25	0	17989
27474	3	9	10	17989
28546	1	18	10	18002
28546	1	15	10	18002
28546	1	12	0	18002
28546	2	15	10	18002
28546	2	13	0	18002
28546	2	10	10	18002
31414	1	10	20	17988
31414	1	12	0	17988
53561	2	9	10	16563
53561	3	10	0	16563
53561	3	15	0	16563
85529	3	13	10	16581
85890	1	9	0	16576
103609	1	14	0	16552
103609	1	11	0	16552
103609	1	15	0	16552
103609	1	7	0	16552
103609	1	8	0	16552
103609	2	7	10	16552
103609	2	9	10	16552
103609	2	7	10	16552
103609	2	18	10	16552
103609	3	14	0	16552
104342	2	9	0	16548
140006	1	28	0	16597
140006	1	23	0	16597
140006	2	9	0	16597
140006	2	11	0	16597
140006	2	29	0	16597
146265	3	19	0	16552
147174	3	17	0	16596
159414	1	9	10	16604
159414	1	11	0	16604
159414	2	14	10	16604
159414	3	8	0	16604
164793	1	10	20	16553
164793	1	22	0	16553
164793	1	12	0	16553
164793	1	23	0	16553
164793	1	8	10	16553
164793	1	8	20	16553
164793	1	13	0	16553
164793	1	23	0	16553
164793	1	20	10	16553
164793	1	22	10	16553
164793	1	24	10	16553
164793	1	35	0	16553
164793	1	61	10	16553
164793	2	20	10	16553
164793	2	11	10	16553
164793	2	8	10	16553
164793	2	12	0	16553
164793	3	31	0	16553
164793	3	42	0	16553
164793	3	13	0	16553
164793	3	29	10	16553
164793	3	17	0	16553
164793	3	41	0	16553
164793	3	14	10	16553
164793	3	36	0	16553
164793	3	10	10	16553
188022	2	14	0	16588
188022	2	13	10	16588
188022	3	7	0	16588
198137	1	19	10	16567
198137	1	15	0	16567
198137	1	10	0	16567
198137	1	10	0	16567
198137	1	35	10	16567
198137	1	20	10	16567
201689	1	22	0	16820
201689	1	20	0	16820
201689	1	20	0	16820
201689	1	64	0	16820
201689	2	11	0	16820
201689	3	10	0	16820
201689	3	10	10	16820
201689	3	11	10	16820
201689	3	46	0	16820
201689	3	52	0	16820
211193	2	12	0	16573
211193	2	16	0	16573
211193	2	12	0	16573
211193	2	13	0	16573
211193	3	14	0	16573
211193	3	15	0	16573
219694	1	8	0	17666
219694	2	15	0	17666
219694	3	9	0	17666
219694	3	18	0	17666
234297	1	11	0	16561
234297	1	27	10	16561
234297	2	20	0	16561
234297	2	13	10	16561
234297	2	14	0	16561
234297	2	20	0	16561
234297	3	14	20	16561
237970	1	9	10	17995
237970	1	9	0	17995
237970	3	7	10	17995
237970	3	9	0	17995
237970	3	7	0	17995
257081	1	7	10	16553
257081	2	7	0	16553
257081	2	7	0	16553
257081	2	14	0	16553
257081	2	19	0	16553
257081	2	10	0	16553
257081	2	8	10	16553
257081	2	10	0	16553
257081	2	7	0	16553
257081	3	11	10	16553
260082	1	15	0	17997
260082	1	7	10	17997
271446	1	12	10	18019
271446	1	17	10	18019
271446	2	9	0	18019
298918	3	9	0	17709
298937	2	7	10	16554
298937	2	45	0	16554
298937	3	20	10	16554
311602	3	14	20	17987
311602	3	15	0	17987
313305	1	23	0	17976
313305	2	43	0	17976
313305	3	46	10	17976
466745	1	8	10	17680
466745	3	21	10	17680
472889	2	7	0	17949
472889	2	14	10	17949
616665	3	9	10	17673
642585	1	27	10	17941
642585	3	NA	NA	17941
