"";"ID";"survey";"user_reference";"location";"date";"latitude";"longitude";"Habitattype";"reliability";"Versie";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"EenheidRefwaarde";"TypeRefwaarde";"InvoertypeRevwaarde";"Waarde";"TypeWaarde";"InvoertypeWaarde";"EenheidWaarde";"AfkomstWaarde";"TheoretischMaximum";"Status_voorwaarde";"Verschilscore"
"1";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;5,0907799;"3260";"hoog";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";1;"zb";1279;"2332";2332;"grootste vegetatievlek in m²";"10";">";"m²";"Decimaal getal";NA;"0.25";"Decimaal getal";NA;"m²";"observatie";30;FALSE;-0,975
"2";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;5,0907799;"3260";"hoog";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";1;"zb";1278;"888";888;"bedekking helofyten";"30";"<=";"%";"Percentage";NA;"15";"Percentage";NA;"%";"observatie";100;TRUE;0,5
"3";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;5,0907799;"3260";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";1275;"569 OR 465";569;"aantal sleutelsoorten laag-abundant";"1";">=";NA;"Geheel getal";NA;"0";"Geheel getal";NA;NA;"berekend";3;FALSE;-1
"4";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;5,0907799;"3260";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";1275;"569 OR 465";465;"aantal sleutelsoorten frequent";"2";">=";NA;"Geheel getal";NA;"0";"Geheel getal";NA;NA;"berekend";6;FALSE;-1
"5";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;5,0907799;"3260";"hoog";"Versie 3";"Verstoring";"eutrofiëring";"<= 30 %";1;"zb";1282;"833";833;"bedekking eutrofiëring";"30";"<=";"%";"Percentage";NA;"20";"Percentage";NA;"%";"observatie";100;TRUE;0,333333333333333
"6";"IV2016120512445956";"HT3260";"DesNe_02_20160826";"DesNe_02";"2016-08-26";51,25009698;5,0907799;"3260";"hoog";"Versie 3";"Verstoring";"invasieve exoten";"hoogstens zeldzaam";1;"zb";1274;"931";931;"bedekking invasieve exoten";"r";"<=";NA;"Categorie";"TANSLEY (LEYSSEN)";"o";"Categorie";"TANSLEY (LEYSSEN)";NA;"berekend";1;FALSE;-0,0100050025012506
"7";"IV2016120809224601";"HT3260";"SchNe_02_20160826";"SchNe_02";"2016-08-26";51,20361829;5,1902725;"3260";"hoog";"Versie 3";"Structuur";"horizontale structuur";"grootste vegetatievlek > 10 m²";1;"zb";1279;"2332";2332;"grootste vegetatievlek in m²";"10";">";"m²";"Decimaal getal";NA;"100";"Decimaal getal";NA;"m²";"observatie";30;TRUE;4,5
"8";"IV2016120809224601";"HT3260";"SchNe_02_20160826";"SchNe_02";"2016-08-26";51,20361829;5,1902725;"3260";"hoog";"Versie 3";"Structuur";"verticale structuur";"<= 30 % helofyten (uitgezonderd sleutelsoorten)";1;"zb";1278;"888";888;"bedekking helofyten";"30";"<=";"%";"Percentage";NA;"10";"Percentage";NA;"%";"observatie";100;TRUE;0,666666666666667
"9";"IV2016120809224601";"HT3260";"SchNe_02_20160826";"SchNe_02";"2016-08-26";51,20361829;5,1902725;"3260";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";1275;"569 OR 465";569;"aantal sleutelsoorten laag-abundant";"1";">=";NA;"Geheel getal";NA;"0";"Geheel getal";NA;NA;"berekend";3;FALSE;-1
"10";"IV2016120809224601";"HT3260";"SchNe_02_20160826";"SchNe_02";"2016-08-26";51,20361829;5,1902725;"3260";"hoog";"Versie 3";"Vegetatie";"sleutelsoorten";"minstens 1 sleutelsoort minstens laag-abundant aanwezig of minstens 2 sleutelsoorten frequent aanwezig";1;"b";1275;"569 OR 465";465;"aantal sleutelsoorten frequent";"2";">=";NA;"Geheel getal";NA;"0";"Geheel getal";NA;NA;"berekend";6;FALSE;-1
