recording_givid	survey	user_reference	location	date	latitude	longitude	type_observed	reliability	suitable_mhq	measured	comment_not_measured
IV2016112910214756	HT3260	Renne_03_20160727	Renne_03	2016-07-27	51.16581861	5.75627681	1	hoog	0	1	NA
IV2016112910413574	HT3260	Renne_04_20160727	Renne_04	2016-07-27	51.16633654	5.75733891	1	NA	0	1	NA
IV2016120512144485	HT3260	DesNe_02_20160804	DesNe_02	2016-08-04	51.25009698	5.0907799	2	NA	0	0	tijdelijk ongeschikt
IV2016120512445956	HT3260	DesNe_02_20160826	DesNe_02	2016-08-26	51.25009698	5.0907799	3	hoog	1	1	NA
IV2016120514075835	HT3260	RodLo_02_20160826	RodLo_02	2016-08-26	51.25396429	4.99708768	1	hoog	0	1	NA
IV2016120514101427	HT3260	LaaBe_01_20160826	LaaBe_01	2016-08-26	51.23106375	4.84775079	1	hoog	0	1	NA
IV2016120514573877	HT3260	BriLo_01_20160728	BriLo_01	2016-07-28	51.1458199	5.21422875	2	NA	0	0	permanent ongeschikt
IV2016120808312250	HT3260	IttBe_01_20160727	IttBe_01	2016-07-27	51.12134259	5.65193414	3	hoog	0	1	permanent ongeschikt
IV2016120809224601	HT3260	SchNe_02_20160826	SchNe_02	2016-08-26	51.20361829	5.1902725	3	hoog	1	1	NA
IV2016120810153277	HT3260	BriLo_04_20160728	BriLo_04	2016-07-28	51.15082173	5.22960834	1	hoog	0	1	NA
IV2016120810542004	HT3260	BriLo_05_20160728	BriLo_05	2016-07-28	51.15020335	5.23499952	1	hoog	0	1	NA
IV2016120811021713	HT3260	GroNe_04_20160728	GroNe_04	2016-07-28	51.16338027	5.22184973	1	matig	0	1	NA
IV2016120811543925	HT3260	GroNe_11_20160728	GroNe_11	2016-07-28	51.16053002	5.2529552	1	matig	0	1	NA
IV2016120812572168	HT3260	SchNe_01_20160804	SchNe_01	2016-08-04	51.2012659	5.1677344	3	hoog	1	1	NA
IV2016120813184428	HT3260	Dommel_01_20160805	Dommel_01	2016-08-05	51.26887777	5.4282973	3	hoog	1	1	NA
IV2016120813410051	HT3260	Dommel_10_20160805	Dommel_10	2016-08-05	51.25959028	5.42113895	3	matig	1	1	NA
IV2016120814040865	HT3260	WarBe_01_20160805	WarBe_01	2016-08-05	51.23221472	5.49457613	1	hoog	0	1	NA
IV2016120814151855	HT3260	Dommel_03_20160805	Dommel_03	2016-08-05	51.21795023	5.43688272	3	hoog	1	1	NA
IV2016120814452463	HT3260	Dommel_08_20160808	Dommel_08	2016-08-08	51.17730019	5.4354898	3	hoog	1	1	NA
IV2016120914433191	HT3260	BolBe_08_o_20160808	BolBe_08_o	2016-08-08	51.14269238	5.40809518	2	NA	0	0	permanent ongeschikt
IV2016120914450912	HT3260	BolBe_08_20160808	BolBe_08	2016-08-08	51.14308611	5.409196	1	hoog	0	1	NA
IV2016120915405472	HT3260	Abeek_04_20160808	Abeek_04	2016-08-08	51.06638256	5.51939631	1	hoog	0	1	NA
IV2016120915535509	HT3260	Voer_08_o_20160811	Voer_08_o	2016-08-11	50.74268031	5.81526876	3	NA	0	1	permanent ongeschikt
IV2016120916091640	HT3260	Voer_08_20160811	Voer_08	2016-08-11	50.74213788	5.81581554	3	hoog	1	1	NA
IV2016121210191115	HT3260	KaaBe_01_20160811	KaaBe_01	2016-08-11	50.92182364	5.48231723	3	hoog	0	1	permanent ongeschikt
IV2016121210223029	HT3260	WarBe_02_20160812	WarBe_02	2016-08-12	51.23703532	5.49386353	2	NA	0	0	permanent ongeschikt
IV2016121210560857	HT3260	BolBe_02_20160812	BolBe_02	2016-08-12	51.09688985	5.40947187	3	hoog	1	1	NA
IV2016121211051467	HT3260	Asbeek_01_20160812	Asbeek_01	2016-08-12	51.14292299	5.18716764	1	matig	0	1	NA
