schaal	type_resultaat	habitattype	sbzh	habitatsubtype	index_diff_mean	index_diff_llci_0.95	index_diff_ulci_0.95	index_diff_rel	index_diff_rel_llci_0.95	index_diff_rel_ulci_0.95	klasse
Vlaanderen	Habitatsubtype	1330	Binnen & Buiten	1330_da	0.0855273	0.0397586	0.131296	0.205	0.095	0.315	2
Vlaanderen	Habitatsubtype	1330	Binnen & Buiten	1330_hpr	0.0119852	-0.0643486	0.088319	0.028	-0.151	0.207	10
Vlaanderen	Habitattype	1330	Binnen & Buiten	1330_hpr; 1330_da	0.0455206	0.00779337	0.0832479	0.108	0.018	0.197	2
Vlaanderen	SBZH	1330	Binnen	1330_hpr; 1330_da	0.073392	0.0334003	0.113384	0.164	0.074	0.253	2
Vlaanderen	SBZH	1330	Buiten	1330_hpr	-0.06135	-0.154548	0.031848	-0.191	-0.482	0.099	9
Vlaanderen	Habitatsubtype	6230	Binnen & Buiten	6230_ha	0.0320325	-0.0237607	0.0878256	0.074	-0.055	0.203	8
Vlaanderen	Habitatsubtype	6230	Binnen & Buiten	6230_hmo	-0.0241095	-0.0907273	0.0425084	-0.041	-0.155	0.072	9
Vlaanderen	Habitatsubtype	6230	Binnen & Buiten	6230_hn	0.0188627	-0.0517965	0.0895219	0.028	-0.078	0.134	10
Vlaanderen	Habitatsubtype	6230	Binnen & Buiten	6230_hnk	0.0925	NA	NA	0.204	NA	NA	NA
Vlaanderen	Habitattype	6230	Binnen & Buiten	6230_hmo; 6230_ha; 6230_hn; 6230_hnk	0.0148258	-0.0198488	0.0495003	0.027	-0.036	0.09	4
Vlaanderen	SBZH	6230	Binnen	6230_hmo; 6230_ha; 6230_hn; 6230_hnk	0.0175667	-0.024913	0.0600464	0.032	-0.046	0.11	8
Vlaanderen	SBZH	6230	Buiten	6230_hn; 6230_ha; 6230_hmo	0.00976566	-0.0591431	0.0786744	0.017	-0.105	0.14	10
Vlaanderen	Habitatsubtype	6410	Binnen & Buiten	6410_mo	0.0155007	-0.0160009	0.0470022	0.033	-0.035	0.101	4
Vlaanderen	Habitattype	6410	Binnen & Buiten	6410_mo	0.0155007	-0.0160009	0.0470022	0.033	-0.035	0.101	4
Vlaanderen	SBZH	6410	Binnen	6410_mo	0.0148407	-0.0189131	0.0485946	0.032	-0.041	0.106	4
Vlaanderen	SBZH	6410	Buiten	6410_mo	0.0173	-0.069149	0.103749	0.036	-0.146	0.219	10
Vlaanderen	Habitatsubtype	6510	Binnen & Buiten	6510_hu	-0.036755	-0.0864324	0.0129224	-0.136	-0.32	0.048	9
Vlaanderen	Habitatsubtype	6510	Binnen & Buiten	6510_hua	0.11172	-0.0162346	0.239675	0.327	-0.048	0.702	8
Vlaanderen	Habitatsubtype	6510	Binnen & Buiten	6510_huk	0.0868998	-0.0249301	0.19873	0.356	-0.102	0.814	8
Vlaanderen	Habitatsubtype	6510	Binnen & Buiten	6510_hus	0.00325149	-0.0980207	0.104524	0.015	-0.464	0.495	10
Vlaanderen	Habitattype	6510	Binnen & Buiten	6510_hu; 6510_hua; 6510_hus; 6510_huk	-0.0180316	-0.0550455	0.0189824	-0.066	-0.202	0.07	9
Vlaanderen	SBZH	6510	Binnen	6510_hu; 6510_hus; 6510_huk	0.035886	-0.0157928	0.0875649	0.146	-0.064	0.357	8
Vlaanderen	SBZH	6510	Buiten	6510_hua; 6510_hu; 6510_hus; 6510_huk	-0.0331705	-0.0973006	0.0309595	-0.119	-0.348	0.111	9
Vlaanderen	Habitatsubtype	7140	Binnen & Buiten	7140_meso	-0.039225	-0.103931	0.025481	-0.087	-0.231	0.057	9
Vlaanderen	Habitatsubtype	7140	Binnen & Buiten	7140_oli	0.06689	-0.0302279	0.164008	0.124	-0.056	0.303	8
Vlaanderen	Habitattype	7140	Binnen & Buiten	7140_meso; 7140_oli	-0.00551046	-0.0618154	0.0507945	-0.012	-0.129	0.106	10
Vlaanderen	SBZH	7140	Binnen	7140_meso; 7140_oli	-0.00146702	-0.0613553	0.0584213	-0.003	-0.128	0.122	10
Vlaanderen	SBZH	7140	Buiten	7140_meso	-0.05315	-0.231412	0.125112	-0.114	-0.497	0.269	10
